name,conferenceName,language,type,year,title,description,link
Степан Суворов,KharkivJS,russian,,2019,Безопасность в Web,,https://youtu.be/-8XVAAVYj7s
Наталья Теплухина,KharkivJS,russian,,2019,Hooked into Vue 3 function-based API,,https://youtu.be/ZTHdIrtaVS8
Никита Галкин,KharkivJS,russian,,2019,The Twelve Factors App for Node.js Developers,,https://youtu.be/i4Rf9ng-dcc
Yoni Goldberg,KharkivJS,english,,2019,"JavaScript Testing: Latest 2019 trends, techniques and opportunities",,https://youtu.be/y9Y7bQnxYQY
Валерий Сорокобатько,KharkivJS,russian,,2019,React Contexts like a pattern,,https://youtu.be/Mu8TBwU3QaA
Алексей Степченков,KharkivJS,russian,,2019,JAMstack и с чем его едят,,https://youtu.be/b1ZnAmIXXAQ
Андрей Чиж,KharkivJS,russian,,2019,Tips and tricks for making high-performance Node.js applications,,https://youtu.be/EtVJZyeDziQ
Сергей Бабич,KharkivJS,russian,,2019,Batman vs Poison Ivy,,https://youtu.be/uVofsYmNxhY
Devlin Duldulao,KharkivJS,english,,2019,"Svelte, a lightweight modern JavaScript library for building web applications",,https://youtu.be/UoNybjskx00
Сергей Рожков,KharkivJS,russian,,2019,Soft skills for software developers,,https://youtu.be/UXmBKL_tnYQ
Виктор Турский,KharkivJS,russian,,2019,Еще одна невозможная задача или история создания собственного движка,,https://youtu.be/_ci7rnpCGrM
Алексей Руденко,KharkivJS,russian,,2019,Fog of War,,https://youtu.be/Iv10GnzwYQ4
Всеволод Родионов,KharkivJS,russian,,2019,Math driven development,,https://youtu.be/Y62qOxcJPPA
Кристина Ландвитович,KharkivJS,russian,,2019,Tensorflow in action,,https://youtu.be/Zj5qhow49AA
Karan Thakkar,KharkivJS,english,,2019,React Native at Skyscanner: The Good Parts,,https://youtu.be/Zyqn6UOcvWY
Павел Черторогов,KharkivJS,russian,,2019,GraphQL: фрагментная модель на клиенте,,https://youtu.be/RQR_6NW_xvo
Кирилл Соколов,KharkivJS,russian,,2019,"Cypress: fast, easy and reliable testing",,https://youtu.be/KJpzrnIap1E
Leo Hrabovetskiy,KharkivJS,ukranian,,2019,Party for the 3rd party,,https://youtu.be/mK4CKWvA17k
Станислав Долгачев,KharkivJS,russian,,2019,Offline by heart,,https://youtu.be/3QNOVt6-t-U
Владлен Федосов,KharkivJS,russian,,2019,Flaws of the Web Components in 2019 and how to address them,,https://youtu.be/BOiJVfTD8F0
James Milner,KharkivJS,english,,2019,We Need to Talk about the Main Thread,,https://youtu.be/dzqt-W365VM
Стас Марков,KharkivJS,russian,,2019,GraalVM - платформа для выполнения не только лишь Java,,https://youtu.be/mwoLFLz6tFI
